listing_age,host_age,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,neighbourhood_cleansed,property_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,listing_age.1,mean_PriceRange_0.5,restaurants_cnt_0.5,mean_review_cnt_0.5,mean_starts_avg_0.5,mean_PriceRange_1,restaurants_cnt_1,mean_review_cnt_1,mean_starts_avg_1,mean_PriceRange_1.5,restaurants_cnt_1.5,mean_review_cnt_1.5,mean_starts_avg_1.5,mean_PriceRange_2,restaurants_cnt_2,mean_review_cnt_2,mean_starts_avg_2,mean_PriceRange_2.5,restaurants_cnt_2.5,mean_review_cnt_2.5,mean_starts_avg_2.5,mean_PriceRange_3,restaurants_cnt_3,mean_review_cnt_3,mean_starts_avg_3
8.498630137,9.208219178,1,100,8,0,0,1,District 18,house,6,3,2,3,600,4,1125,319,25,1,5,5,4.96,5,4.91,5,4.88,0,8.498630137,1.7,60,236.4,3.725462064,1.593103448,145,188.4344828,3.697684751,1.514925373,268,149.4291045,3.634216692,1.551813472,772,142.4248705,3.613021107,1.502982107,1006,144.6878728,3.638194132,1.446440452,1503,146.9274784,3.676376747
8.101369863,8.564383562,1,100,98,0,2,1,District 19,house,2,1,1,1,94,3,1125,327,183,16,4.89,4.86,4.79,4.97,4.95,4.95,4.82,0,8.101369863,1.51627907,215,156.6511628,3.562363258,1.519553073,537,164.4581006,3.597682413,1.438314945,997,160.0812437,3.657098053,1.4359375,1280,159.6546875,3.702021722,1.420718816,1419,155.8900634,3.719582689,1.421884883,1581,150.7615433,3.72349266
8.446575342,11.62739726,1,100,97,1,1,1,District 10,remote house,4,1,1,2,135,2,14,347,65,18,5,4.98,5,5,4.94,5,4.94,0,8.446575342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,21,3.016216216,0.5,2,21,3.016216216
8.364383562,10.85479452,24,90,85,0,3,1,District 7,house,3,1,1,1,89,30,1125,79,138,0,4.65,4.65,4.48,4.89,4.87,4.75,4.67,0,8.364383562,1.5,14,95.5,3.769375039,1.236842105,38,163.8684211,4.02635634,1.272189349,169,106.7100592,3.829072301,1.271523179,302,121.1622517,3.94328144,1.330917874,414,123.5072464,3.815079201,1.33072407,511,113.446184,3.772152797
8.336986301,8.408219178,1,100,98,1,1,1,District 6,private room,2,1,1,1,115,2,14,354,282,22,4.95,4.94,4.94,4.97,4.94,4.9,4.87,1,8.336986301,0.5,4,23.75,4.276918343,1.125,24,204.0833333,4.218006769,1.301886792,53,155.8867925,4.078929271,1.230088496,226,117.1061947,4.021571252,1.296103896,385,116.4,3.824414412,1.308429119,522,114.2643678,3.747597135
8.295890411,11.65479452,1,100,100,1,1,1,District 6,house,2,1,1,1,111,2,1125,336,239,48,4.92,4.99,4.99,4.97,4.97,4.8,4.88,0,8.295890411,1.75,4,79.25,4.376910289,1.422535211,71,145.6619718,4.259285309,1.308411215,214,132.228972,4.067505914,1.252559727,293,140.778157,3.988853332,1.286831812,767,148.7522816,3.834147836,1.337251356,1106,151.5759494,3.841475362
8.065753425,8.331506849,1,100,100,1,1,1,District 7,house,12,2.5,4,8,625,3,360,259,72,10,4.97,4.96,4.97,5,4.99,5,4.94,0,8.065753425,0,0,0,0,1.178571429,28,98.25,3.668430494,1.417910448,67,107.8208955,3.474153322,1.425531915,141,107.5957447,3.428386524,1.408045977,174,97.83908046,3.43991167,1.348017621,227,88.98678414,3.428844937
8.254794521,9.95890411,1,100,97,1,8,1,District 6,house,6,2.5,3,3,375,2,1125,227,57,13,4.86,4.71,4.51,4.98,4.95,4.87,4.71,0,8.254794521,1.389830508,118,124.1271186,4.115200817,1.306220096,209,158.9090909,4.07031456,1.279850746,268,138.2686567,4.011512276,1.280864198,324,131.6203704,3.957616608,1.314117647,850,146.1870588,3.816776695,1.336538462,1144,152.4589161,3.830101909
8.235616438,9.95890411,1,100,97,1,8,1,District 6,house,4,1.5,2,2,150,1,1125,172,108,12,4.84,4.81,4.8,4.93,4.99,4.93,4.79,0,8.235616438,1.389830508,118,124.1271186,4.115200817,1.306220096,209,158.9090909,4.07031456,1.279850746,268,138.2686567,4.011512276,1.280864198,324,131.6203704,3.957616608,1.314117647,850,146.1870588,3.816776695,1.336538462,1144,152.4589161,3.830101909
8.284931507,8.315068493,1,100,100,1,1,1,District 6,house,2,1,1,1,90,2,1125,300,350,23,4.87,4.91,4.92,4.98,4.99,4.96,4.89,0,8.284931507,1.384615385,65,154.4923077,4.174357449,1.281553398,206,156.038835,4.090265651,1.286821705,258,140.3643411,4.023374366,1.270769231,325,129.9815385,3.957344918,1.301682692,832,145.4026442,3.832192592,1.335652174,1150,151.4513043,3.832818171
8.243835616,9.95890411,1,100,97,1,8,1,District 6,private room,2,1.5,1,1,70,2,1125,0,135,6,4.93,4.95,4.92,4.98,4.98,4.96,4.94,0,8.243835616,1.408695652,115,127.4608696,4.074707091,1.283018868,212,155.75,4.072277407,1.284644195,267,138.752809,4.016549151,1.281733746,323,131.6904025,3.957407581,1.313981043,844,146.2381517,3.81481825,1.335958005,1143,152.4278215,3.830118054
8.101369863,8.268493151,24,100,100,1,2,1,District 6,house,6,1,2,2,174,1,160,221,115,6,4.89,4.9,4.94,4.96,4.96,4.89,4.86,0,8.101369863,1.5,22,266.9545455,4.117178087,1.367088608,158,134.5253165,4.092709479,1.283333333,240,147.4625,4.027702073,1.26910299,301,130.7009967,3.958054675,1.328227571,457,146.7177243,3.862934253,1.315352697,964,136.4107884,3.804412887
6.698630137,10.44109589,1,100,96,0,14,1,District 12,private room,1,1,1,1,35,31,365,168,10,0,4.9,4.9,4.7,5,4.8,4.7,4.7,0,6.698630137,0,0,0,0,0,0,0,0,1,2,32.5,2.92478355,1,6,22.5,3.628102453,0.9,10,51.2,3.648929498,1.125,16,42.75,3.43178715
7.906849315,8.430136986,1,100,92,1,0,1,District 7,house,4,1,3,4,99,30,1125,120,103,5,4.78,4.74,4.73,4.9,4.93,4.63,4.72,1,7.906849315,1,3,127.3333333,3.900461771,1.538461538,26,128.6153846,3.982096676,1.357142857,140,101.8571429,3.541434928,1.32780083,241,110.6473029,3.583352754,1.333333333,390,121.6923077,3.765188102,1.320754717,477,117.5157233,3.772611586
8.082191781,8.430136986,3,90,82,1,1,1,District 7,private room,6,1,1,3,135,2,1125,358,472,29,4.94,4.96,4.95,4.94,4.95,4.84,4.94,0,8.082191781,0,0,0,0,1.519230769,52,113.5576923,3.195408418,1.643564356,101,134.019802,3.359518478,1.403061224,196,108.9744898,3.507295523,1.319148936,282,102.2446809,3.581246401,1.317422434,419,119.5656325,3.710748047
8.082191781,9.712328767,1,100,99,0,5,1,District 21,house,10,2,3,4,349,2,1125,266,137,20,4.76,4.75,4.88,4.92,4.93,4.29,4.7,1,8.082191781,1.111111111,9,132,3.854453837,1.159090909,44,99.45454545,3.67747398,1.311627907,215,110.4139535,3.775284157,1.308588064,687,121.5516739,3.667560312,1.397959184,1176,149.6853741,3.69262488,1.399431414,1407,149.989339,3.708707813
8.084931507,8.123287671,1,100,100,0,10,1,District 16,house,6,2,2,3,96,2,365,342,165,9,4.7,4.85,4.63,4.94,4.96,4.79,4.83,1,8.084931507,1.269230769,26,86.5,3.848679059,1.112676056,71,60.12676056,3.845648451,1.215384615,130,76.4,3.766942577,1.198863636,176,71.47727273,3.743575403,1.212962963,324,71.76851852,3.66630073,1.23798627,437,90.31578947,3.759140828
7.961643836,8.342465753,1,100,98,1,1,1,District 7,private room,2,1,1,1,69,1,1125,343,298,58,4.91,4.91,4.79,4.99,4.99,4.83,4.91,0,7.961643836,1.421052632,19,113.8947368,3.877703976,1.246575342,73,68.35616438,3.61576391,1.157024793,121,71.72727273,3.751687898,1.337301587,252,102.0992063,3.626394038,1.324390244,410,117.0609756,3.754498233,1.305954825,487,115.661191,3.732444435
7.967123288,8.010958904,1,88,95,1,2,1,District 19,private room,5,1.5,2,2,113,1,29,97,512,52,4.84,4.93,4.95,4.92,4.86,4.69,4.86,0,7.967123288,1.43220339,118,119.6779661,3.912735476,1.285714286,455,121.3428571,3.784148907,1.406494961,893,165.7950728,3.705149323,1.415480427,1124,159.0106762,3.697557691,1.406601124,1424,154.4417135,3.740868554,1.385920805,1591,148.7360151,3.739821528
7.854794521,8.578082192,1,100,99,1,1,1,District 6,private room,4,1,1,1,140,30,31,95,405,51,4.98,4.97,4.98,4.99,4.96,4.69,4.91,0,7.854794521,0,0,0,0,1.372881356,59,158.0169492,4.168307174,1.373776908,511,168.6203523,3.816446721,1.362903226,868,170.1221198,3.833722862,1.348757498,1167,153.9040274,3.847096883,1.36801676,1432,151.5740223,3.79810966
7.564383562,8.490410959,1,100,99,1,13,1,District 6,house,10,2,3,4,175,1,1125,320,449,75,4.94,4.97,4.97,4.97,4.98,4.96,4.9,1,7.564383562,1.75,4,79.25,4.376910289,1.241666667,120,146.85,4.208387443,1.277310924,238,147.0168067,4.063388357,1.255737705,305,138.5934426,3.992631509,1.297402597,770,148.7974026,3.830439546,1.341071429,1120,153.0169643,3.844417501
7.84109589,9.643835616,1,100,97,1,1,1,District 6,house,12,3,4,5,357,3,90,259,163,22,4.86,4.78,4.73,4.98,4.96,4.72,4.78,0,7.84109589,1.5,2,183,3.898336039,1.142857143,28,81.35714286,4.026478329,1.296296296,54,158.462963,4.092220277,1.328244275,262,112.6603053,3.741054936,1.344578313,415,121.3614458,3.778067798,1.328,500,114.858,3.753949636
7.663013699,7.906849315,1,100,100,1,1,1,District 5,private room,2,1,1,1,78,2,14,121,541,32,4.92,4.94,4.82,4.97,4.98,4.89,4.9,0,7.663013699,1.367521368,117,169.3675214,4.028418916,1.315315315,222,154.2027027,4.050912787,1.286206897,290,132.8655172,3.993640778,1.338187702,618,145.131068,3.84205146,1.321243523,965,143.4062176,3.823375793,1.335784314,1224,148.0449346,3.797248385
7.397260274,10.76986301,1,100,92,0,4,1,District 24,house,6,3,3,3,550,3,1125,350,7,3,5,4.83,4.83,5,4.83,5,4.83,0,7.397260274,1.727272727,11,151.1818182,3.461181137,1.396226415,106,117.1509434,3.794132681,1.421232877,292,112.3458904,3.662827436,1.440397351,604,123.3096026,3.644850106,1.463928968,901,129.5849057,3.661428558,1.4329653,1268,129.9865931,3.680918084
6.435616438,8.44109589,1,100,97,1,3,1,District 6,house,10,3,3,5,211,2,365,335,273,37,4.93,4.94,4.96,4.98,4.96,4.93,4.86,0,6.435616438,1.156862745,51,100.254902,3.780644665,1.256544503,191,146.7539267,3.962724713,1.271477663,291,132.4501718,3.978564953,1.280453258,353,122.5524079,3.939176724,1.289411765,425,119.9670588,3.880982356,1.323529412,986,139.6602434,3.800063909
7.747945205,9.95890411,1,100,97,1,8,1,District 6,private room,2,1,1,1,70,2,1125,0,49,1,4.96,4.94,4.92,5,4.98,4.94,4.88,0,7.747945205,1.389830508,118,124.1271186,4.115200817,1.306220096,209,158.9090909,4.07031456,1.279850746,268,138.2686567,4.011512276,1.280864198,324,131.6203704,3.957616608,1.314117647,850,146.1870588,3.816776695,1.336538462,1144,152.4589161,3.830101909
7.660273973,7.857534247,1,100,90,1,0,1,District 18,house,8,3,4,4,706,30,1125,232,68,13,4.99,5,5,4.98,5,4.96,4.76,0,7.660273973,1.857142857,7,148.1428571,3.426615119,1.544041451,193,125.0569948,3.492850709,1.527131783,387,149.9121447,3.560242262,1.500734214,681,139.5403818,3.625705415,1.498134328,1072,138.9766791,3.658975788,1.431456548,1634,141.4877601,3.687540548
